# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#


📺VPN直播频道,#genre#






公视,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/bebf62b8f36e15e5e06b473af9c5ec11/master.m3u8
民视,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/9821d7dcc39c147e2f0045cc4e738da3/master.m3u8
华视,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/d392344d671b30ab189c476f3b624657/master.m3u8
公视台语,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/678df3aa2e55ddd635861f8dd122aab9/master.m3u8
龙华动画,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/6315e6a4ab9277b61c1aa0a489343950/master.m3u8
龙华电影,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/3169ea33994439bc12897805855bc9c7/master.m3u8
龙华影剧,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/403dad69037655b3447a2fe8d57f4618/master.m3u8
龙华戏剧,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/5278c687d0e3b339c4c7fbe918a03815/master.m3u8
龙华偶像,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/aaa7ff9ae18318109a88b0bc276fb7ee/master.m3u8
龙华洋片,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/b38a31f277abf41c1b851725876391a4/master.m3u8
博斯网球,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/a946262f18af2efe65dccf7736230eda/master.m3u8
博斯无限,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/c8379752b30b5c9634b92cf94b0b76ee/master.m3u8
博斯运动 2,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/50a12156b2ad4f7d3af2141996ae9f01/master.m3u8
博斯运动 1,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/5239aa671b96a7be19e46cc1ba21cc9d/master.m3u8
博斯魅力,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/64ea4d7e310e64b007e0607de07a324c/master.m3u8
eye旅游,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/00621226ded31acd1367945fb27f1054/master.m3u8
eye戏剧,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/b5174ce39afdeaa18c87898df4b48598/master.m3u8
爱尔达体育4,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/a6e61face00c3f1fde5cedf6ffac34b1/master.m3u8
爱尔达体育3,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/ebcca025996ec36d1fe8e0c67d143286/master.m3u8
爱尔达体育2,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/df8d4898ccf64ad6b4ebdcf08fb3b6ae/master.m3u8
爱尔达体育1,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/707eb6ef051ec10020b4be99d26007d9/master.m3u8
爱尔达影剧,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/c3e24fec0b308a20645d99490ec3265c/master.m3u8
爱尔达综合,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/acc6feb10ff8c744e2c07bc92c8f6748/master.m3u8
八大娱乐,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/25ef7fc0160c1dd4158c174f05395f67/master.m3u8
八大戏剧,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/b78a3c41fe39bee408da970c3dab75b7/master.m3u8
